Source,Target,Source_Label,Target_Label,Type,Category,Evidence Notes,URL,Strength,Frequency
A063,A024,Agrathaer GmbH,Einführungsseminare Ökolandbau,directed,Institutional/Organisational,Agrathaer GmbH is responsible for coordinating and delivering the introductory seminars on behalf of the Federal Organic Farming Scheme.,https://www.bundesprogramm.de/das-bundesprogramm/weiterbildungsangebote/landwirtschaft/fuer-landwirtschaftliches-fachpersonal/einfuehrungsseminare-oekolandbau,,
A025,A028,Wir haben es satt!,Fridays for Future,undirected,Social,Fridays for Future is a member organisation of the “Wir haben es satt!” alliance and participates in joint campaigns and demonstrations for agricultural and climate policy.,https://www.wir-haben-es-satt.de/informieren/aufruf,,
A025,A067,Wir haben es satt!,Kulturland eG,undirected,Institutional/Organisational,Kulturland eG is a supporting organisation within the “Wir haben es satt!” alliance.,https://www.wir-haben-es-satt.de/informieren/aufruf,,
A025,A073,Wir haben es satt!,Sarah Wiener Stiftung,undirected,Institutional/Organisational,The Sarah Wiener Stiftung is a supporting organisation within the “Wir haben es satt!” alliance.,https://www.wir-haben-es-satt.de/informieren/aufruf,,
A025,A034,Wir haben es satt!,WWOOF: Worldwide Opportunities on Organic Farms,undirected,Institutional/Organisational,WWOOF Germany is a supporting organisation within the “Wir haben es satt!” alliance.,https://www.wir-haben-es-satt.de/informieren/aufruf,,
A026,A063,"Bundesministerium für Landwirtschaft, Ernährung und Heimat (BMLEH)",Agrathaer GmbH,directed,Financial,"Agrathaer GmbH implements the Einführungsseminare Ökolandbau on behalf of the Federal Organic Farming Programme (BÖL), which is funded by the BMLEH.",https://www.bundesprogramm.de/das-bundesprogramm/weiterbildungsangebote/landwirtschaft/fuer-landwirtschaftliches-fachpersonal/einfuehrungsseminare-oekolandbau,,
A025,A028,Wir haben es satt!,Fridays for Future,undirected,Institutional/Organisational,Fridays for Future is a member organisation of the “Wir haben es satt!” alliance and participates in its ongoing organisational activities and campaigns.,https://www.wir-haben-es-satt.de/informieren/aufruf,,
A014,A029,Land Brandenburg,INISEK (Initiative Sekundarstufe I),directed,Financial,The State of Brandenburg co-finances the INISEK programme as part of its education policy.,https://bravors.brandenburg.de/verwaltungsvorschriften/inisek_i,,
A029,A019,INISEK (Initiative Sekundarstufe I),"AWO Grundschule ""Marie Juchacz""",directed,Financial,The school has implemented educational projects funded through the INISEK programme.,https://awo-potsdam.de/de/grundschule-golm/projekte/,,
A029,A031,INISEK (Initiative Sekundarstufe I),Schule am Plessower See,directed,Financial,The school has participated in educational projects funded through the INISEK programme.,https://www.plessowersee-oberschule.de/unterricht/inisek/,,
A001,A032,SoLaWi BAUERei Potsdam-Grube,Schule des Lebens,directed,Educational,"Lene Waschke Waschke from BAUERei is acknowledged by the Schule des Lebens for supporting the school and its educational activities, demonstrating an ongoing educational relationship between the organisations.",https://www.schule-des-lebens-potsdam.de/,,
A001,A035,SoLaWi BAUERei Potsdam-Grube,Montelino im Volkspark (Depot),directed,Produce,Montelino im Volkspark is an official SoLaWi vegetable collection depot (Abholdepot) for BAUERei members.,https://bauerei-potsdam-grube.de/solawi__trashed/vereinbarung/,,
A001,A036,SoLaWi BAUERei Potsdam-Grube,Maulbeerallee (Depot),directed,Produce,Maulbeerallee is an official BAUERei collection depot (Abholdepot) where members collect their weekly vegetable shares.,https://bauerei-potsdam-grube.de/solawi__trashed/vereinbarung/,,
A001,A037,SoLaWi BAUERei Potsdam-Grube,Nansenstraße (Depot),directed,Produce,Nansenstraße is an official BAUERei collection depot (Abholdepot) where members collect their weekly vegetable shares.,https://bauerei-potsdam-grube.de/solawi__trashed/vereinbarung/,,
A037,A086,Nansenstraße (Depot),SoLaWi Members (BAUERei),directed,Produce,BAUERei members collect their weekly vegetable shares from the Nansenstraße depot.,https://bauerei-potsdam-grube.de/solawi__trashed/vereinbarung/,,
A037,A051,Nansenstraße (Depot),GUTER KONSUM – Bio Dorfladen,directed,Produce,The BAUERei depot information identifies GUTER KONSUM – Bio Dorfladen as sharing the Nansenstraße depot location through the associated Food Coop.,https://bauerei-potsdam-grube.de/solawi__trashed/solawi-faq/,,
A001,A038,SoLaWi BAUERei Potsdam-Grube,Lottenhof (Depot),directed,Produce,Lottenhof is an official BAUERei collection depot (Abholdepot) where members collect their weekly vegetable shares.,⁠BAUERei FAQ – Depot Lottenhof,,
A038,A086,Lottenhof (Depot),SoLaWi Members (BAUERei),directed,Produce,BAUERei members collect their weekly vegetable shares from the Lottenhof depot.,⁠BAUERei FAQ – Depot Lottenhof,,
A035,A086,Montelino im Volkspark (Depot),SoLaWi Members (BAUERei),directed,Produce,BAUERei members collect their weekly vegetable shares from the depot.,https://bauerei-potsdam-grube.de/solawi__trashed/vereinbarung/,,
A001,A039,SoLaWi BAUERei Potsdam-Grube,Einsteinstraße (Depot),directed,Produce,Einsteinstraße is an official BAUERei collection depot (Abholdepot) where members collect their weekly vegetable shares.,https://bauerei-potsdam-grube.de/solawi__trashed/vereinbarung/,,
A039,A086,Einsteinstraße (Depot),SoLaWi Members (BAUERei),directed,Produce,BAUERei members collect their weekly vegetable shares from the Einsteinstraße depot.,https://bauerei-potsdam-grube.de/solawi__trashed/solawi-faq/,,
A040,A086,Projekthaus Babelsberg (Depot),SoLaWi Members (BAUERei),directed,Produce,Projekthaus Babelsberg serves as an official BAUERei collection depot where members collect their weekly vegetable shares.,https://bauerei-potsdam-grube.de/solawi__trashed/solawi-faq/,,
A001,A040,SoLaWi BAUERei Potsdam-Grube,Projekthaus Babelsberg (Depot),directed,Produce,Official BAUERei depot,https://bauerei-potsdam-grube.de/solawi__trashed/solawi-faq/,,
A041,A086,Uferwerk eG (Depot),SoLaWi Members (BAUERei),directed,Produce,Uferwerk eG serves as an official BAUERei collection depot where members collect their weekly vegetable shares.,https://bauerei-potsdam-grube.de/wp-content/uploads/2025/10/Solawi-Jahresvereinbarung-2026.pdf,,
A001,A042,SoLaWi BAUERei Potsdam-Grube,Werder/Kesselgrundstraße (Depot),directed,Produce,Kesselgrundstraße (Werder) is an official BAUERei collection depot (Abholdepot) where weekly vegetable shares are delivered.,https://bauerei-potsdam-grube.de/wp-content/uploads/2025/10/Solawi-Jahresvereinbarung-2026.pdf,,
A042,A086,Werder/Kesselgrundstraße (Depot),SoLaWi Members (BAUERei),directed,Produce,BAUERei members collect their weekly vegetable shares from the Kesselgrundstraße depot.,https://bauerei-potsdam-grube.de/wp-content/uploads/2025/10/Solawi-Jahresvereinbarung-2026.pdf,,
A011,A060,BioRegion Havelland,WaldRaum Café,undirected,Social,WaldRaum Café participates in BioRegion community food and cultural events. ,BioRegion Havelland events page,,
A044,A066,Gud Berlin,BioBoden Genossenschaft eG,undirected,Institutional/Organisational,Gud Berlin identifies BioBoden Genossenschaft eG as a partner supporting its regenerative agricultural model.,https://gut.berlin/partner/,,
A044,A068,Gud Berlin,Regionalwert AG Berlin-Brandenburg,undirected,Institutional/Organisational,Regionalwert AG Berlin-Brandenburg is listed as a partner organisation of Gud Berlin.,https://gut.berlin/partner/,,
A045,A062,European Commission,European Union,directed,Institutional/Organisational,The European Commission is the executive institution of the European Union and is responsible for implementing EU policies and programmes.,https://commission.europa.eu/about-european-commission_en,,
A045,A015,European Commission,(ELER program) Europäischer Landwirtschaftsfonds für die Entwicklung des ländlichen Raums,directed,Financial,"The European Commission develops, implements and oversees the Common Agricultural Policy, including the European Agricultural Fund for Rural Development (ELER).",https://agriculture.ec.europa.eu/cap-my-country/rural-development_en,,
A045,A013,European Commission,LEADER program,directed,Financial,The European Commission establishes the LEADER approach within the Common Agricultural Policy and oversees its implementation across Member States.,https://agriculture.ec.europa.eu/cap-my-country/rural-development_en,,
A046,A068,BIOHOF WERDER,Regionalwert AG Berlin-Brandenburg,undirected,Institutional/Organisational,Biohof Werder states that Jochen Fritz helped establish Regionalwert AG Berlin-Brandenburg and continues to maintain this organisational relationship through the farm.,https://www.biohof-werder.de/ueber-uns/,,
A046,A021,BIOHOF WERDER,Bundesarbeitsgemeinschaft Lernort Arensnest Bauernhof e.V. (BAGLOB),undirected,Educational,BAGLoB e.V. is listed as an official learning partner for Biohof Werder’s educational programme (Lernort Arensnest).,https://www.biohof-werder.de/Lernort Arensnest/,,
A046,A073,BIOHOF WERDER,Sarah Wiener Stiftung,undirected,Educational,The Sarah Wiener Stiftung is listed as an official learning partner for Biohof Werder’s educational programme (Lernort Arensnest).,https://www.biohof-werder.de/Lernort Arensnest/,,
A052,A047,Mostmanufaktur Havelland,BioInsel Rathenow & Albertinenhof Havelland,directed,Produce,"The BioInsel stocks and is supplied with juices, shots and other products from the Mostmanufaktur Havelland.",https://www.meine-bio-insel.de/,,
A047,A011,BioInsel Rathenow & Albertinenhof Havelland,BioRegion Havelland,undirected,Institutional/Organisational,BioInsel Rathenow & Albertinenhof Havelland is an official partner business within the BioRegion Havelland network.,https://www.bioregion-havelland.de/,,
A067,A048,Kulturland eG,Der Obstbäumerich mit Obstmuckelei,directed,Financial,"Kulturland eG jointly acquired the orchard in 2020, providing the long-term land security under which the Obstmuckelei operates.",https://obstmuckelei.de/,,
A048,A052,Der Obstbäumerich mit Obstmuckelei,Mostmanufaktur Havelland,directed,Produce,Apples from the Obstmuckelei are processed into juice by Mostmanufaktur Havelland.,https://obstmuckelei.de/en/harvest/,,
A023,A048,Bündnis Junge Landwirtschaft,Der Obstbäumerich mit Obstmuckelei,undirected,Institutional/Organisational,The Obstmuckelei is presented as a member enterprise of Bündnis Junge Landwirtschaft.,https://www.buendnisjungelandwirtschaft.org/mitglieder/obstmuckelei,,
A046,A049,BIOHOF WERDER,Freie Waldorfschule Werder/Havel,directed,Educational,Biohof Werder operates as a learning farm and provides educational activities for the Freie Waldorfschule Werder/Havel.,https://www.biohof-werder.de/Lernort Arensnest/,,
A050,A046,GÖHLSDORFER HOF,BIOHOF WERDER,undirected,Institutional/Organisational,GÖHLSDORFER HOF and BIOHOF WERDER jointly operate the Ackerfreude vegetable box initiative together with VON HAND Blumen und Gemüse.,https://ackerfreude-werder.de/,,
A052,A051,Mostmanufaktur Havelland,GUTER KONSUM – Bio Dorfladen,directed,Produce,The shop stocks and sells products from Mostmanufaktur Havelland as part of its regional product range.,https://www.guterkonsum.de/regionales-sortiment/,,
A046,A052,BIOHOF WERDER,Mostmanufaktur Havelland,undirected,Produce,Biohof Werder collaborates with Mostmanufaktur Havelland as a regional processing partner for fruit and is linked through its regional partnerships.,https://www.biohof-werder.de/partner/,,
A014,A053,Land Brandenburg,OBSTBAU BITTNER,directed,Financial,Obstbau Bittner receives funding through Brandenburg’s agri-environment and organic farming support programme (KULAP).,https://www.obstbau-bittner.de/,,
A062,A053,European Union,OBSTBAU BITTNER,directed,Financial,Obstbau Bittner receives co-funding from the European Union through Brandenburg’s agri-environment and organic farming support programme (KULAP).,https://www.obstbau-bittner.de/,,
A068,A053,Regionalwert AG Berlin-Brandenburg,OBSTBAU BITTNER,undirected,Institutional/Organisational,Obstbau Bittner’s products are included within the Regionalwert AG Berlin-Brandenburg partner network.,https://www.regionalwert-berlin.de/unsere-partner/produkte-unserer-partnerbetriebe/,,
A011,A060,BioRegion Havelland,WaldRaum Café,directed,Produce,WaldRaum Café serves regional food products through BioRegion-linked events. ,BioRegion Havelland event listing,,
A055,A051,Sanddorn Christine Berger GmbH & Co.KG,GUTER KONSUM – Bio Dorfladen,directed,Produce,GUTER KONSUM stocks Sandokan products produced by Sanddorn Christine Berger GmbH & Co. KG as part of its regional assortment.,https://www.guterkonsum.de/regionales-sortiment/,,
A050,A056,GÖHLSDORFER HOF,HAVELKNOLLE,directed,Produce,Göhlsdorfer Hof supplies the eggs distributed through the optional egg share of HAVELKNOLLE.,https://havelknolle.de/solawi/,,
A056,A020,HAVELKNOLLE,Netzwerk Solidarische Landwirtschaft e.V.,undirected,Institutional/Organisational,HAVELKNOLLE is listed as a member SoLaWi within the national Netzwerk Solidarische Landwirtschaft.,https://www.solidarische-landwirtschaft.org/solawis-finden/auflistung/solawi/havelknolle-e-v/,,
A056,A023,HAVELKNOLLE,Bündnis Junge Landwirtschaft,undirected,Institutional/Organisational,HAVELKNOLLE is presented by Bündnis Junge Landwirtschaft as one of its member farms/initiatives.,https://www.buendnisjungelandwirtschaft.org/mitglieder/,,
A057,A020,LandWertSchaffen – mit Hand und Huf,Netzwerk Solidarische Landwirtschaft e.V.,undirected,Institutional/Organisational,LandWertSchaffen is listed as a member SoLaWi in the national Netzwerk Solidarische Landwirtschaft.,https://www.solidarische-landwirtschaft.org/solawis-finden/auflistung/solawi/landwertschaffen-mit-hand-und-huf/,,
A055,A057,Sanddorn Christine Berger GmbH & Co.KG,LandWertSchaffen – mit Hand und Huf,directed,Produce,The Hofladen operated by LandWertSchaffen stocks regional products from Sanddorn Christine Berger GmbH & Co. KG.,https://www.landwertschaffen.de/hofladen,,
A050,A057,GÖHLSDORFER HOF,LandWertSchaffen – mit Hand und Huf,directed,Produce,The optional egg share offered by the SoLaWi is supplied with eggs from GÖHLSDORFER HOF.,https://www.landwertschaffen.de/solawi,,
A058,A020,Luch Gärtnerei,Netzwerk Solidarische Landwirtschaft e.V.,undirected,Institutional/Organisational,Luch Gärtnerei operates as a Solidarische Landwirtschaft (SoLaWi) and is listed in the national SoLaWi directory.,https://www.solidarische-landwirtschaft.org/solawis-finden/auflistung/solawi/luch-gaertnerei/,,
A058,A086,Luch Gärtnerei,SoLaWi Members (Luch Gärtnerei),directed,Produce,Luch Gärtnerei distributes weekly harvest shares directly to its SoLaWi members through its solidarity agriculture model.,https://www.luchgaertnerei.de/solawi,,
A046,A059,BIOHOF WERDER,VON HAND Blumen und Gemüse,undirected,Institutional/Organisational,BIOHOF WERDER and VON HAND Blumen und Gemüse jointly founded and operate the Ackerfreude vegetable box initiative.,https://ackerfreude-werder.de/,,
A059,A060,VON HAND Blumen und Gemüse,WaldRaum Café,undirected,Institutional/Organisational,VON HAND Blumen und Gemüse and WaldRaum Café jointly organise the recurring Farm-to-table Aperitivo events as part of the BioRegion Havelland programme.,https://www.ernaehrungsrat-brandenburg.de/aktuelles/bioregion-havelland-farm-to-table-ein-tisch-voller-saisonaler-koestlichkeiten/,,
A050,A059,GÖHLSDORFER HOF,VON HAND Blumen und Gemüse,undirected,Institutional/Organisational,GÖHLSDORFER HOF and VON HAND Blumen und Gemüse jointly founded and operate the Ackerfreude vegetable box initiative.,https://ackerfreude-werder.de/,,
A046,A060,BIOHOF WERDER,WaldRaum Café,directed,Produce,"BIOHOF WERDER supplies produce for the Farm-to-table Dinner “Unterm Kirschbaum”, which is prepared and served in collaboration with WaldRaum Café as part of the BioRegion Havelland programme.",https://www.bioregion-havelland.de/,,
A061,A060,Weingut Swillus,WaldRaum Café,directed,Produce,Weingut Swillus supplies wines for the recurring Farm-to-table Aperitivo events organised with WaldRaum Café as part of the BioRegion Havelland programme.,https://www.bioregion-havelland.de/farm-to-table-aperitivo/,,
A062,A013,European Union,LEADER program,directed,Institutional/Organisational,The LEADER approach forms part of the EU’s Common Agricultural Policy and is established through EU rural development policy.,https://agriculture.ec.europa.eu/cap-my-country/rural-development_en,,
A062,A015,European Union,(ELER program) Europäischer Landwirtschaftsfonds für die Entwicklung des ländlichen Raums,directed,Financial,The European Agricultural Fund for Rural Development (ELER/EAFRD) is an EU funding instrument established under the Common Agricultural Policy to finance rural development.,https://agriculture.ec.europa.eu/common-agricultural-policy/rural-development_en,,
A077,A069,"Ministerium für Landwirtschaft, Umwelt und Klimaschutz (MLUK Brandenburg)",FÖL Berlin-Brandenburg,directed,Financial,MLUK funds FÖL’s Junglandwirte project supporting young farmers in Brandenburg.,https://www.foel.de/arbeitsbereiche/junglandwirtefoerderung/,,
A015,A063,(ELER program) Europäischer Landwirtschaftsfonds für die Entwicklung des ländlichen Raums,Agrathaer GmbH,directed,Financial,"Agrathaer participates in and coordinates multiple EIP-AGRI projects funded through the ELER programme, including MoPlaSa.",https://agrathaer.de/project/moplasa/,,
A064,A066,GLS Bank,BioBoden Genossenschaft eG,undirected,Institutional/Organisational,BioBoden Genossenschaft eG is an official cooperation partner of GLS Bank and was co-founded with substantial support from GLS Bank and GLS Treuhand.,https://www.gls.de/gls-bank/ueber-uns/gruppe-kooperationspartner/,,
A064,A068,GLS Bank,Regionalwert AG Berlin-Brandenburg,directed,Financial,GLS Bank finances and publicly supports the Regionalwert AG model as part of its sustainable agriculture investment portfolio.,https://www.gls.de/gls-bank/nachhaltigkeit/wo-wirkt-die-gls/ernaehrung/regionalwert-ag/,,
A064,A020,GLS Bank,Netzwerk Solidarische Landwirtschaft e.V.,undirected,Institutional/Organisational,GLS Bank officially supports and promotes Netzwerk Solidarische Landwirtschaft as part of its sustainable food systems portfolio and provides dedicated banking services for solidarity-based agriculture.,https://www.gls.de/gls-bank/nachhaltigkeit/wo-wirkt-die-gls/ernaehrung/netzwerk-solidarische-landwirtschaft/,,
A069,A065,FÖL Berlin-Brandenburg,Netzwerk Junge Landwirtschaft,directed,Institutional/Organisational,"Netzwerk/Bündnis Junge Landwirtschaft is hosted by FÖL Berlin-Brandenburg, with its registered office located at the FÖL offices and FÖL serving as the institutional host for the initiative.",https://www.buendnisjungelandwirtschaft.org/,,
A066,A046,BioBoden Genossenschaft eG,BIOHOF WERDER,directed,Financial,"BioBoden has secured agricultural land for Biohof Werder as one of its official partner farms, ensuring its long-term continuation.",https://bioboden.de/partnerhoefe,,
A066,A067,BioBoden Genossenschaft eG,Kulturland eG,undirected,Institutional/Organisational,BioBoden and Kulturland collaborate on long-term farmland protection and are recognised as partner organisations within Germany’s land access movement.,https://www.kulturland.de/partner,,
A067,A001,Kulturland eG,SoLaWi BAUERei Potsdam-Grube,directed,Financial,Kulturland states that it supports land security for solidarity agriculture initiatives and lists BAUERei Potsdam-Grube as one of its partner farms where land has been secured through the Kulturland model.,https://www.kulturland.de/partnerhoefe/bauerei-potsdam-grube,,
A067,A020,Kulturland eG,Netzwerk Solidarische Landwirtschaft e.V.,undirected,Institutional/Organisational,Kulturland identifies Netzwerk Solidarische Landwirtschaft as an official cooperation partner working together to support solidarity agriculture and access to land.,https://www.kulturland.de/partner,,
A020,A034,Netzwerk Solidarische Landwirtschaft e.V.,WWOOF: Worldwide Opportunities on Organic Farms,undirected,Educational,"The organisations cooperate to promote knowledge exchange, volunteer engagement and the development of Solidarische Landwirtschaft.",https://www.solidarische-landwirtschaft.org/das-netzwerk/partner-kooperationen/,,
A068,A069,Regionalwert AG Berlin-Brandenburg,FÖL Berlin-Brandenburg,undirected,Institutional/Organisational,Regionalwert identifies FÖL Berlin-Brandenburg as one of the core organisations within its regional partner network supporting the bio-regional food system.,https://www.regionalwert-berlin.de/fileadmin/Downloads/Pressemappe/Unternehmensbroschuere_Regionalwert_AG_BBG.pdf,,
A068,A006,Regionalwert AG Berlin-Brandenburg,Ökonauten eG,undirected,Institutional/Organisational,Regionalwert identifies Ökonauten eG as a network partner working towards sustainable regional agriculture and land access.,https://www.regionalwert-berlin.de/fileadmin/Downloads/Pressemappe/Unternehmensbroschuere_Regionalwert_AG_BBG.pdf,,
A068,A020,Regionalwert AG Berlin-Brandenburg,Netzwerk Solidarische Landwirtschaft e.V.,undirected,Institutional/Organisational,Regionalwert identifies Solidarische Landwirtschaft as one of the key organisations within its wider regional partner network supporting regional food systems.,https://www.regionalwert-berlin.de/fileadmin/Downloads/Pressemappe/Unternehmensbroschuere_Regionalwert_AG_BBG.pdf,,
A015,A069,(ELER program) Europäischer Landwirtschaftsfonds für die Entwicklung des ländlichen Raums,FÖL Berlin-Brandenburg,directed,Financial,The Junglandwirte project led by FÖL is co-funded through the ELER programme.,https://www.foel.de/arbeitsbereiche/junglandwirtefoerderung/,,
A068,A069,Regionalwert AG Berlin-Brandenburg,FÖL Berlin-Brandenburg,undirected,Institutional/Organisational,Regionalwert AG Berlin-Brandenburg is an official cooperation partner in FÖL’s Junglandwirte project.,https://www.foel.de/arbeitsbereiche/junglandwirtefoerderung/,,
A065,A069,Netzwerk Junge Landwirtschaft,FÖL Berlin-Brandenburg,undirected,Institutional/Organisational,Netzwerk/Bündnis Junge Landwirtschaft is an official cooperation partner in the FÖL Junglandwirte project.,https://www.foel.de/arbeitsbereiche/junglandwirtefoerderung/,,
A077,A076,"Ministerium für Landwirtschaft, Umwelt und Klimaschutz (MLUK Brandenburg)","Landesamt für Ländliche Entwicklung, Landwirtschaft und Flurneuordnung (LELF Brandenburg)",directed,Institutional/Organisational,"LELF is the subordinate state authority that supports MLUK in implementing agricultural, rural development and land consolidation policy on behalf of the Ministry.",https://lelf.brandenburg.de/lelf/de/ueber-uns/,,
A070,A021,BNE-Servicestelle Brandenburg,Bundesarbeitsgemeinschaft Lernort Arensnest Bauernhof e.V. (BAGLOB),undirected,Educational,"BNE-Servicestelle Brandenburg and BAGLOB jointly cooperate in developing and supporting educational approaches for learning outside the classroom, including the “Lernort Arensnest Bauernhof” network.",https://bildungsserver.baglob.de/,,
A030,A071,Jugend und Sport des Landes Brandenburg,Vernetzungsstelle Schulverpflegung Brandenburg,directed,Financial,"The Ministry of Education, Youth and Sport (MBJS) co-finances and supports the Vernetzungsstelle Kita- und Schulverpflegung Brandenburg.",https://vernetzungsstelle-brandenburg.de/ueber-uns/traeger-und-foerderung/,,
A026,A071,"Bundesministerium für Landwirtschaft, Ernährung und Heimat (BMLEH)",Vernetzungsstelle Schulverpflegung Brandenburg,directed,Financial,"BMLEH funds national IN FORM projects implemented by the Vernetzungsstelle, including the development of ‘Unser Kitaessen’ and ‘Unser Schulessen’.",https://vernetzungsstelle-brandenburg.de/ueber-uns/traeger-und-foerderung/,,
A064,A021,GLS Bank,Bundesarbeitsgemeinschaft Lernort Arensnest Bauernhof e.V. (BAGLOB),directed,Financial,"Lernort Arensnest Arensnest invites financial support through GLS Bank, which provides banking services for the organisation’s investment memberships and direct loans.",https://schaeferei-arensnest.de/unterstuetzen,,
A073,A021,Sarah Wiener Stiftung,Bundesarbeitsgemeinschaft Lernort Arensnest Bauernhof e.V. (BAGLOB),undirected,Educational,BAGLoB is listed by the Sarah Wiener Stiftung as an official cooperation partner supporting educational work around learning on farms and food education.,https://sw-stiftung.de/ueber-uns/partner,,
A071,A073,Vernetzungsstelle Schulverpflegung Brandenburg,Sarah Wiener Stiftung,undirected,Educational,The Vernetzungsstelle and Sarah Wiener Stiftung jointly deliver the “Ich kann kochen!” programme and professional development for educators in Brandenburg.,https://vernetzungsstelle-brandenburg.de/termine/kitamahlzeiten-als-bildungs-und-partizipationsmomente/,,
A021,A074,Bundesarbeitsgemeinschaft Lernort Arensnest Bauernhof e.V. (BAGLOB),1 Hektar Zukunft,undirected,Educational,"1 Hektar Zukunft contributes to BAGLoB’s Bundestagung, presenting “Vom Bauernhof zum Lernort Arensnest: Wie fange ich es an?” as an educational partner. This represents an active educational collaboration rather than simple membership.",https://baglob.de/veranstaltung/bundestagung-2026/,,
A077,A013,"Ministerium für Landwirtschaft, Umwelt und Klimaschutz (MLUK Brandenburg)",LEADER program,directed,Financial,,,,
A076,A013,"Landesamt für Ländliche Entwicklung, Landwirtschaft und Flurneuordnung (LELF Brandenburg)",LEADER program,directed,Institutional/Organisational,LELF is the responsible approval and implementation authority for LEADER funding applications and administers the programme in Brandenburg after projects have been selected.,https://lelf.brandenburg.de/lelf/de/service/foerderung/leader/,,
A015,A076,(ELER program) Europäischer Landwirtschaftsfonds für die Entwicklung des ländlichen Raums,"Landesamt für Ländliche Entwicklung, Landwirtschaft und Flurneuordnung (LELF Brandenburg)",directed,Institutional/Organisational,"LELF administers, controls and implements ELER-funded rural development measures and payment procedures within Brandenburg.",https://lelf.brandenburg.de/lelf/de/ueber-uns/abteilungen/,,
A077,A013,"Ministerium für Landwirtschaft, Umwelt und Klimaschutz (MLUK Brandenburg)",LEADER program,directed,Institutional/Organisational,MLUK is the responsible managing ministry for the implementation of LEADER in Brandenburg and publishes the programme guidance and funding rules.,https://lelf.brandenburg.de/lelf/de/service/foerderung/leader/,,
A077,A071,"Ministerium für Landwirtschaft, Umwelt und Klimaschutz (MLUK Brandenburg)",Vernetzungsstelle Schulverpflegung Brandenburg,directed,Financial,MLUK (now MLEUV) co-finances and supports the Vernetzungsstelle Kita- und Schulverpflegung Brandenburg.,https://vernetzungsstelle-brandenburg.de/ueber-uns/traeger-und-foerderung/,,
A013,A081,LEADER program,LEADER-Region Uckermark,directed,Institutional/Organisational,The LEADER programme officially recognises LEADER-Region Uckermark as one of Brandenburg’s Local Action Groups for the 2023–2027 funding period.,https://mleuv.brandenburg.de/mleuv/de/land-und-ernaehrungswirtschaft/laendliche-entwicklung/leader/,,
A013,A077,LEADER program,"Ministerium für Landwirtschaft, Umwelt und Klimaschutz (MLUK Brandenburg)",directed,Institutional/Organisational,MLUK is managing authority for rural development including LEADER,https://mleuv.brandenburg.de/mleuv/de/land-und-ernaehrungswirtschaft/laendliche-entwicklung/leader/,,
A007,A084,Jugendschule am Schlänitzsee,Montessori-Oberschule Potsdam,undirected,Educational,The Jugendschule am Schlänitzsee is the Montessori-Oberschule Potsdam’s long-term outdoor learning campus for Years 7–8. The school and Jugendschule jointly deliver curriculum through the “Statt Schule – Im Leben lernen” programme.,https://www.potsdam-montessori.de/hospitationen-und-fortbildungen/,,
A013,A001,LEADER program,SoLaWi BAUERei Potsdam-Grube,undirected,Educational,,,,
A083,A051,Bio Hofgut Kleimeier,GUTER KONSUM – Bio Dorfladen,directed,Produce,Bio Hofgut Kleimeier supplies fruit and vegetables that are sold through GUTER KONSUM – Bio Dorfladen as part of the BioRegion Havelland regional value chain.,https://www.bioregion-havelland.de/index.php/2026/01/30/bio-hofgut-kleimeier/,,
A083,A054,Bio Hofgut Kleimeier,Restaurant Theo im Fontane-Klub,directed,Produce,Bio Hofgut Kleimeier supplies bio-regional produce for Restaurant Theo im Fontane-Klub through the BioRegion Havelland regional supply chain.,https://www.bioregion-havelland.de/index.php/2026/01/30/bio-hofgut-kleimeier/,,
A007,A001,Jugendschule am Schlänitzsee,SoLaWi BAUERei Potsdam-Grube,undirected,Educational,"The Jugendschule operates as a joint educational project with BAUERei, using the farm as its primary learning environment.",https://www.potsdam.de/system/files/documents/materialien_1_massnahmensteckbriefe_1-46_kl.pdf,,
A085,A007,Landkreis Potsdam-Mittelmark,Jugendschule am Schlänitzsee,directed,Financial,The Landkreis Potsdam-Mittelmark provides financial support for the Jugendschule am Schlänitzsee as part of its youth education and extracurricular learning programmes.,https://www.schlaenitzsee.de/foerderer,,
A085,A033,Landkreis Potsdam-Mittelmark,Independent Living Stiftung,directed,Financial,The Landkreis Potsdam-Mittelmark supports projects delivered by Independent Living Stiftung through local youth and inclusion initiatives.,https://www.independentliving.de/projekte,,
